285,Arizona Express Airlines,,,TMP,TEMPE,N
286,Tatarstan Airlines,,U9,TAK,TATARSTAN,Y
287,Allegheny Commuter Airlines,,,ALO,ALLEGHENY,Y
288,Alpliner AG,,,ALP,ALPINER,N
289,Altair Aviation (1986),,,ALQ,ALTAIR,N
290,Air Luxor STP,,,ALU,LUXORJET,N
291,Alas de Venezuela,,,ALV,ALVEN,N
292,Alas Nacionales,,,ALW, S.A.,N
293,Alyeska Air Service,,,ALY,ALYESKA,N
294,Alta Flights (Charters) Ltd.,,,ALZ, ,N
295,Air Sunshine,,,RSI,AIR SUNSHINE,Y
296,ATMA,,,AMA,ADIK,N
297,Aerolineas Medellin,,,AMD,AEROLINEAS MEDELLIN,N
298,Ameriflight,,,AMF,AMFLIGHT,N
299,Air Libert,,VD,,,Y
300,Air Lithuania,,TT,KLA,KAUNAS,N
301,Air Minas Linhas A,,,AMG,AIR MINAS,N
302,Alan Mann Helicopters Ltd.,,,AMH,MANN,N
303,Air Maldives,,,AMI,AIR MALDIVES,N
304,Aviation Amos,,,AMJ,AVIATION AMOS,N
305,Amerer Air,,,AMK,AMER AIR,N
306,Air Malawi,,QM,AML,MALAWI,Y
307,Aeroputul International Marculesti,,,AMM,AEROM,N
308,Air Montenegro,,,AMN,MONTENEGRO,N
309,Air Montreal (Air Holdings Inc.),,,AMO,AIR MONTREAL,N
310,Aero Transporte S.A. (ATSA),,,AMP,ATSA,N
311,Aeromedicare Ltd.,,,AMQ,LIFELINE,N
312,Air Sicilia,,BM,,,Y
313,Air Specialties Corporation,,,AMR,AIR AM,N
314,Air Muskoka,,,AMS,AIR MUSKOKA,N
315,ATA Airlines,,,AMT,AMTRAN,Y
316,Air Macau,,NX,AMU,AIR MACAO,Y
317,AMC Airlines,,,AMV,,Y
318,Air Midwest,,ZV,AMW,AIR MIDWEST,N
319,Air Seychelles,,HM,SEY,SEYCHELLES,Y
320,Air Sofia,,,SFB,AIR SOFIA,N
321,AeroMéxico,,AM,AMX,AEROMEXICO,Y
322,Air Ambar,,,AMY,AIR AMBAR,N
323,Amiya Airline,,,AMZ,AMIYA AIR,N
324,All Nippon Airways,ANA All Nippon Airways,NH,ANA,ALL NIPPON,Y
325,Air Navigation And Trading Co. Ltd.,,,ANB,AIR NAV,N
326,Anglo Cargo,,,ANC,ANGLO,N
327,Air Nostrum,,YW,ANE,AIR NOSTRUM,Y
328,Air Niugini,,PX,ANG,NUIGINI,Y
329,Air Arabia,,G9,ABY,ARABIA,Y
330,Air Canada,,AC,ACA,AIR CANADA,Y
331,Airport Bratsk,,,BRP,AEROBRA,N
332,Air Wings,,,BSB,ARBAS,N
333,Air Baltic,,BT,BTI,AIRBALTIC,Y
334,Alajnihah for Air Transport,,,ANH,ALAJNIHAH,N
335,Air Atlantic (Nig) Limited,,,ANI,NIGALANTIC,N
336,Air Nippon,,EL,ANK,ANK AIR,Y
337,Antares Airtransport,,,ANM, Maintenance & Service GmbH,N
338,Airnorth,,TL,ANO,TOPEND,Y
339,Aerol,,,ANQ,ANTIOQUIA,N
340,Andes Lineas Aereas,,,ANS,AEROANDES,N
341,Air North Charter - Canada,,4N,ANT,AIR NORTH,Y
342,Air Nevada,,,ANV,AIR NEVADA,N
343,AOM French Airlines,,IW,AOM,French Lines,N
344,Aviacion Del Noroeste,,,ANW, S.A. de C.V.,N
345,Air New Zealand,,NZ,ANZ,NEW ZEALAND,Y
346,Avia Jaynar,,,SAP,TOBOL,N
347,Aero Servicios Empresariales,,,EMS,SERVIEMPRESARIAL,N
348,Alcon Servicios Aereos,,,AOA, S.A. de C.V.,N
349,AVCOM,,J6,AOC,AERO AVCOM,N
350,Aero Vodochody,,,AOD,AERO CZECH,N
351,Air One Executive,,,AOE, ,N
352,Atair Pty Ltd.,,,AOF,ATAIR,N
353,Aero VIP,,2D,AOG,AVIP,N
354,Aeromundo Ejecutivo,,,MUN,AEROMUNDO,N
355,Aerolinea Muri,,,MUR,MURI,N
356,Astoria,,,AOI, Inc.,N
357,Aero Rent JSC,,,NRO,AEROMASTER,N
358,Aeronord-Grup,,,NRP,AERONORD,N
359,Aeroatlantico Colombia,,,AOK,,N
360,Angkor Airlines,,,AOL,ANGKOR AIR,N
361,Aero Entreprise,,,AON,AERO ENTERPRISE,N
362,As,,,AOO, Opened Joint Stock Company,N
363,Aeropiloto,,,AOP,AEROPILOTO,N
364,Aeroenlaces Nacionales,,,VIV,AEROENLACES,N
365,Aerovis Airlines,,,VIZ,AEROVIZ,N
366,Avjet International (FZE),,,VJE,,N
367,Aerovista Gulf Express,,,VGF,VISTA GULF,N
368,Air Vegas,,6V,VGA,AIR VEGAS,N
369,Almaver,,,VER,ALMAVER,N
370,Afro International Ent. Limited,,,AOR,INTER-AFRO,N
371,Alitalia Express,,XM,SMX,ALIEXPRESS,Y
372,Asia Overnight Express,,OE,AOT,ASIA OVERNIGHT,N
373,Air Tractor,,,AOU,AIR TRACTOR,N
374,Aero Vision,,,AOV,AEROVISION,N
375,Aerotaxi Del Valle,,,AOX,AEROVALLE,N
376,Air Park Aviation Ltd.,,,APA,CAN-AM,N
377,Airpac Airlines,,,APC, Inc.,N
378,Aeroservicios Monterrey,,,SVM,SERVIMONTE,N
379,Amapola Flyg AB,,,APF,AMAPOLA,N
380,Air People International,,,APG,AIR PEOPLE,N
381,Alpha Aviation,,,APH, Inc.,N
382,ASA Pesada,,,API, Lda.,N
383,Air Print,,,APJ, S.A.,N
384,Atlantic Airlines,,,BJK,BLACKJACK,N
385,Aerotransporte Petrolero,,,PET,AEROPETRO,N
386,Aero Flight,,GV,ARF,Aero Fox,Y
387,ACM Aviation,,,BJT,BAY JET,N
388,Aircompany Barcol,,,BKL,BARCOL,N
389,All Charter Limited,,,BLA,ALL CHARTER,N
390,Appalachian Flying Service,,,APL, Inc.,N
391,Airpac,,,APM, Inc.,N
392,Aeropro,,,APO,AEROPRO,N
393,Aerolineas Pacifico Atlantico,,,APP, S.A. (Apair),N
394,Aspen Aviation,,,APQ,ASPEN BASE,N
395,Aeropuma,,,APU, S.A.,N
396,Air Plan International,,,APV,AIR PLAN,N
397,Arrow Air,,JW,APW,BIG A,Y
398,Apex Air Cargo,,,APX,PARCEL EXPRESS,N
399,APA Internacional,,,APY,APA INTERNACIONAL,N
400,Aeroatlas,,,AQA, S.A.,N
401,Aquila Air Ltd.,,,AQL,AQUILA,N
402,Air Queensland,,,AQN,BUSHAIR,N
403,Aluminum Company Of America,,,AQO,ALCOA SHUTTLE,N
404,Aviones de Renta de Quintana Roo,,,AQT, S.A. de C.V.,N
405,AirQuarius Aviation,,,AQU,QUARIUS,N
406,Aerodyne Charter Company,,,AQZ,QUANZA,N
407,Arik Air,,W3,ARA,ARIK AIR,N
408,Avia Air N.V.,,,ARB,AVIAIR,N
409,Air Routing International Corp.,,,ARC, ,N
410,Aerocondor,,2B,ARD,AEROCONDOR,Y
411,Aires,,4C,ARE, Aerovias de Integracion Regional,Y
412,Aerolineas Argentinas,,AR,ARG,ARGENTINA,Y
413,Arrowhead Airways,,,ARH,ARROWHEAD,N
414,Aero Vics,,,ARI,AEROVICS,N
415,Aerojet de Costa Rica,,,ARJ, S.A.,N
416,Antillana De Navegacion Aerea,,,SUN,,N
417,Aeroservicios De San Luis,,,SUO,SERVICIO SANLUIS,N
418,Aerosuper,,,SUP,AEROSUPER,N
419,Aero Link Air Services S.L.,,,ARK,LINK SERVICE,N
420,Airlec - Air Aquitaine Transport,,,ARL,AIRLEC,N
421,Aeromarket Express,,,ARM,AMEX,N
422,Arrow Aviation Ltd.,,,ARO,ARROW,N
423,RPA-Aviataxi Ltd.,,,ARP,,N
424,Air Klaipeda,,,KLD,AIR KLAIPEDA,N
425,Armstrong Air,,,ARQ, Inc.,N
426,Air Armenia,,QN,ARR,AIR ARMENIA,N
427,Aeromet Servicios,,,ARS,METSERVICE,N
428,Aerotal Aerolineas Territoriales de Colombia Ltda,,,ART,AEROTAL,N
429,Aravco Ltd.,,,ARV,ARAVCO,N
430,Aria,,,ARW,ARIABIRD,N
431,Air Xpress,,,ARX, Inc.,N
432,Airline Alania,,,OST,ALANIA,N
433,Air Tchad,,,HTT,HOTEL TANGO,N
434,Aerloineas de Techuacan,,,HUC,LINEAS TEHUACAN,N
435,Aerotransportes Huitzilin,,,HUT,AEROHUITZILIN,N
436,Aero Transportes Del Humaya,,,HUY,AERO HUMAYA,N
437,Argosy Airways,,,ARY,GOSEY,N
438,Air Resorts,,,ARZ,AIR RESORTS,N
439,Alaska Airlines,,AS,ASA, Inc.,Y
440,Air-Spray 1967 Ltd.,,,ASB,AIR SPRAY,N
441,Air Star Corporation,,,ASC,AIR STAR,N
442,Air Sinai,,4D,ASD,AIR SINAI,Y
443,Airstars,,PL,ASE,MOROZOV,N
444,Air Schefferville,,,ASF, Inc.,N
445,African Star Airways (PTY) Ltd.,,,ASG,AFRICAN STAR,N
446,Aerosun International,,,ASI, Inc.,N
447,Air Satellite,,,ASJ,SATELLITE,N
448,Awesome Flight Services (PTY) Ltd.,,,ASM,AWESOME,N
449,Air and Sea Transport,,,ASN, ,N
450,Aero Slovakia,,,ASO,AERO NITRA,N
451,Airsprint,,,ASP,AIRSPRINT,N
452,Atlantic Southeast Airlines,,EV,ASQ,ACEY,Y
453,All Star Airlines,,,ASR, Inc.,N
454,Air Class,,,ASS, S.A. de C.V.,N
455,Aerlineas Del Oeste,,,AST,AEROESTE,N
456,Aviones Are,,,NRE,AVIONES ARE,N
457,Air Nepal International,,,NPL,AIR NEPAL,N
458,Air Napier,,,NPR,,N
459,Air Taxi & Cargo,,,WAM,TAXI CARGO,N
460,Arrow Panama,,,WAP,ARROW PANAMA,N
461,Astravia-Bissau Air Transports Ltd.,,,ASV,ASTRAVIA,N
462,Astrakhan Airlines,,OB,ASZ,AIR ASTRAKHAN,Y
463,Air Transport Association,,,ATA,,N
464,Atlantair Ltd.,,,ATB,STARLITE,N
465,Air Tanzania,,TC,ATC,TANZANIA,Y
466,Aerotours Dominicana,,,ATD,AEROTOURS,N
467,Atlantis Transportation Services,,,ATE, Ltd.,N
468,Aerotrans Airline,,,ATG,BACHYT,N
469,Air Charter World,,,XAC,,N
470,Air Burkina,,2J,VBW,BURKINA,Y
471,Air Travel Corp.,,,ATH,AIR TRAVEL,N
472,Aero-Tropics Air Services,,HC,ATI,,N
473,Air Traffic GmbH,,,ATJ,SNOOPY,N
474,AeroTACA,,,ATK,AEROTACA,N
475,Aerocentral,,,ATL,CENTRALMEX,N
476,Airlines Of Tasmania,,FO,ATM,AIRTAS,Y
477,Air Saint Pierre,,PJ,SPM,,Y
478,Air Transport International,,8C,ATN,AIR TRANSPORT,N
479,ASTRAL Colombia - Aerotransportes Especiales Ltda.,,,ATP,ASTRAL,N
480,Air Transport Schiphol,,,ATQ,MULTI,N
481,Aeroferinco,,,FEO,FERINCO,N
482,Aero Taxis Y Servicios Alfe,,,FES,AERO ALFE,N
483,Avialesookhrana,,,FFA,AVIALESOOKHRANA,N
484,Africair Service,,,FFB,FOXTROT FOXTROT,N
485,Atlas Airlines,,,ATR,ATLAS-AIR,N
486,Air Transport Service,,,ATS,,N
487,Aer Turas,,,ATT,AERTURAS,N
488,Atlant Aerobatics Ltd.,,,ATU,ATLANT HUNGARY,N
489,Avanti Air,,,ATV,AVANTI AIR,N
490,Aero Trades (Western) Ltd.,,,ATW,AERO TRADES,N
491,Austrian Airlines,,OS,AUA,AUSTRIAN,Y
492,Air Southwest,,,WOW,SWALLOW,Y
493,Augsburg Airways,,IQ,AUB,AUGSBURG-AIR,Y
494,Air Corporate,,,CPV,AIRCORPORATE,N
495,Aviastar-Tu,,,TUP,TUPOLEVAIR,N
496,AirBridge Cargo,,RU,ABW,AIRBRIDGE CARGO,N
497,ATUR,,,TUR,,Y
498,ATESA Aerotaxis Ecuatorianos,,,TXU,ATESA,N
499,Austin Express,,,TXX,COWBOY,N
500,Audi Air,,,AUD, Inc.,N
501,Augusta Air Luftfahrtunternehmen,,,AUF,AUGUSTA,N
502,Abu Dhabi Amiri Flight,,MO,AUH,SULTAN,Y
503,Aeroflot-Nord,,5N,AUL,DVINA,Y
504,Air Atlantic Uruguay,,,AUM,ATLAMUR,N
505,Aviones Unidos,,,AUN,AVIONES UNIDOS,N
